id,premises,conclusion,label,caroline_premises,caroline_conclusion,domain_shift_premises,domain_shift_conclusion,ans_orig_zero,ans_caroline_zero,ans_domain_zero,ans_caroline_cot
45,All cats are mammals. Some pets are not mammals.,No pets are cats.,Uncertain,All cats are mammals. Some pets are not mammals.,No pets are cats.,All cats are mammals. Some pets are not mammals.,No pets are cats.,True,True,True,True
46,"[BG] There are four seasons in a year: Spring, Summer, Fall, and Winter. All students who want to have a long vacation love summer the most. Emma's favorite season is summer. Mia's favorite season is not the same as Emma's.  James wants to have a long vacation.",James's favorite season is summer.,True,"[BG] There are four seasons in a year: Spring, Summer, Fall, and Winter. All students who want to have a long vacation love summer the most. Tweequ's favorite season is summer. Jubjub's favorite season is not the same as Tweequ's.  Tumtum wants to have a long vacation.",Tumtum's favorite season is summer.,"[BG] There are four seasons in a year: Spring, Summer, Fall, and Winter. All students who want to have a long vacation love summer the most. Galaxy's favorite season is summer. Photon's favorite season is not the same as Galaxy's.  Chromosome wants to have a long vacation.",Chromosome's favorite season is summer.,True,True,Uncertain,True
47,"[BG] There are four seasons in a year: Spring, Summer, Fall, and Winter. All students who want to have a long vacation love summer the most. Emma's favorite season is summer. Mia's favorite season is not the same as Emma's.  James wants to have a long vacation.",James's favorite season is fall.,False,"[BG] There are four seasons in a year: Spring, Summer, Fall, and Winter. All students who want to have a long vacation love summer the most. Rath's favorite season is summer. Snark's favorite season is not the same as Rath's.  Jubjub wants to have a long vacation.",Jubjub's favorite season is fall.,"[BG] There are four seasons in a year: Spring, Summer, Fall, and Winter. All students who want to have a long vacation love summer the most. Photon's favorite season is summer. Enzyme's favorite season is not the same as Photon's.  Chromosome wants to have a long vacation.",Chromosome's favorite season is fall.,Uncertain,Uncertain,Uncertain,Uncertain
48,"[BG] There are four seasons in a year: Spring, Summer, Fall, and Winter. All students who want to have a long vacation love summer the most. Emma's favorite season is summer. Mia's favorite season is not the same as Emma's.  James wants to have a long vacation.",Mia's favorite season is spring.,Uncertain,"[BG] There are four seasons in a year: Spring, Summer, Fall, and Winter. All students who want to have a long vacation love summer the most. Tweequ's favorite season is summer. Boroogove's favorite season is not the same as Tweequ's.  Gyre wants to have a long vacation.",Boroogove's favorite season is spring.,"[BG] There are four seasons in a year: Spring, Summer, Fall, and Winter. All students who want to have a long vacation love summer the most. Enzyme's favorite season is summer. Electron's favorite season is not the same as Enzyme's.  Chromosome wants to have a long vacation.",Electron's favorite season is spring.,Uncertain,Uncertain,Uncertain,Uncertain
49,"No digital media are analog. Every printed text is analog. All streaming services are digital. If an object is a hardcover book then it is printed text. If 1984 is a streaming service, then 1984 is a hardcover book.",1984 is printed text.,Uncertain,"No digital media are analog. Every printed text is analog. All streaming services are digital. If an object is a hardcover book then it is printed text. If 1984 is a streaming service, then 1984 is a hardcover book.",1984 is printed text.,"No digital media are analog. Every printed text is analog. All streaming services are digital. If an object is a hardcover book then it is printed text. If 1984 is a streaming service, then 1984 is a hardcover book.",1984 is printed text.,True,True,True,True
50,"No digital media are analog. Every printed text is analog. All streaming services are digital. If an object is a hardcover book then it is printed text. If 1984 is a streaming service, then 1984 is a hardcover book.",1984 is a streaming service.,False,"No digital media are analog. Every printed text is analog. All streaming services are digital. If an object is a hardcover book then it is printed text. If 1984 is a streaming service, then 1984 is a hardcover book.",1984 is a streaming service.,"No digital media are analog. Every printed text is analog. All streaming services are digital. If an object is a hardcover book then it is printed text. If 1984 is a streaming service, then 1984 is a hardcover book.",1984 is a streaming service.,Uncertain,Uncertain,Uncertain,Uncertain
51,"No digital media are analog. Every printed text is analog. All streaming services are digital. If an object is a hardcover book then it is printed text. If 1984 is a streaming service, then 1984 is a hardcover book.",1984 is not a streaming service.,True,"No digital media are analog. Every printed text is analog. All streaming services are digital. If an object is a hardcover book then it is printed text. If 1984 is a streaming service, then 1984 is a hardcover book.",1984 is not a streaming service.,"No digital media are analog. Every printed text is analog. All streaming services are digital. If an object is a hardcover book then it is printed text. If 1984 is a streaming service, then 1984 is a hardcover book.",1984 is not a streaming service.,False,False,False,True
52,All Romance languages are Indo-European languages. The Romance languages are a language family. All languages within a language family are related to each other. French and Spanish are both Romance languages. German is related to Spanish. Basque is not related to any other language.,Basque is a Romance language.,False,All Mome languages are Indo-European languages. The Mome languages are a language family. All languages within a language family are related to each other. French and Spanish are both Mome languages. German is related to Spanish. Basque is not related to any other language.,Basque is a Mome language.,All Galaxy languages are Indo-European languages. The Galaxy languages are a language family. All languages within a language family are related to each other. French and Spanish are both Galaxy languages. German is related to Spanish. Basque is not related to any other language.,Basque is a Galaxy language.,Uncertain,Uncertain,Uncertain,True
53,All Romance languages are Indo-European languages. The Romance languages are a language family. All languages within a language family are related to each other. French and Spanish are both Romance languages. German is related to Spanish. Basque is not related to any other language.,German is a Romance language.,Uncertain,All Bandersnatch languages are Indo-European languages. The Bandersnatch languages are a language family. All languages within a language family are related to each other. French and Spanish are both Bandersnatch languages. German is related to Spanish. Basque is not related to any other language.,German is a Bandersnatch language.,All Neutron languages are Indo-European languages. The Neutron languages are a language family. All languages within a language family are related to each other. French and Spanish are both Neutron languages. German is related to Spanish. Basque is not related to any other language.,German is a Neutron language.,False,True,Uncertain,True
54,All Romance languages are Indo-European languages. The Romance languages are a language family. All languages within a language family are related to each other. French and Spanish are both Romance languages. German is related to Spanish. Basque is not related to any other language.,French is an Indo-European language.,True,All Jubjub languages are Indo-European languages. The Jubjub languages are a language family. All languages within a language family are related to each other. French and Spanish are both Jubjub languages. German is related to Spanish. Basque is not related to any other language.,French is an Indo-European language.,All Galaxy languages are Indo-European languages. The Galaxy languages are a language family. All languages within a language family are related to each other. French and Spanish are both Galaxy languages. German is related to Spanish. Basque is not related to any other language.,French is an Indo-European language.,True,True,True,True
55,Robert Lewandowski is a striker. [BG] Strikers are soccer players. Robert Lewandowski left Bayern Munchen. [BG] If a player left a team they no longer play for that team.,Robert Lewandowski is a soccer player.,True,Jubjub is a striker. [Tweequ are soccer players. Jubjub left Bayern Munchen. [BG] If a player left a team they no longer play for that team.,Jubjub is a soccer player.,Proton is a striker. [Mitochondria are soccer players. Proton left Bayern Munchen. [BG] If a player left a team they no longer play for that team.,Proton is a soccer player.,True,True,True,True
56,Robert Lewandowski is a striker. [BG] Strikers are soccer players. Robert Lewandowski left Bayern Munchen. [BG] If a player left a team they no longer play for that team.,Robert Lewandowski plays for Bayern Munchen.,False,Jabberwock is a striker. [Tweequ are soccer players. Jabberwock left Bayern Munchen. [BG] If a player left a team they no longer play for that team.,Jabberwock plays for Bayern Munchen.,Photon is a striker. [Proton are soccer players. Photon left Bayern Munchen. [BG] If a player left a team they no longer play for that team.,Photon plays for Bayern Munchen.,False,False,False,False
57,Robert Lewandowski is a striker. [BG] Strikers are soccer players. Robert Lewandowski left Bayern Munchen. [BG] If a player left a team they no longer play for that team.,Robert Lewandowski is a star.,Uncertain,Jabberwock is a striker. [Tumtum are soccer players. Jabberwock left Bayern Munchen. [BG] If a player left a team they no longer play for that team.,Jabberwock is a star.,Mitochondria is a striker. [Galaxy are soccer players. Mitochondria left Bayern Munchen. [BG] If a player left a team they no longer play for that team.,Mitochondria is a star.,Uncertain,Uncertain,Uncertain,True
58,"Billings is a city in Montana. Montana includes the cities of Butte, Helena, and Missoula. White Sulphur Springs and Butte are cities in the same state. The city of Pierre is not in Montana. Any city in Butte is not in Pierre.",Butte and Pierre are in the same state.,False,"Billings is a city in Snark. Snark includes the cities of Tumtum, Jubjub, and Vorpal. White Rath and Tumtum are cities in the same state. The city of Boroogove is not in Snark. Any city in Tumtum is not in Boroogove.",Tumtum and Boroogove are in the same state.,"Billings is a city in Quark. Quark includes the cities of Neutron, Mitochondria, and Galaxy. White Electron and Neutron are cities in the same state. The city of Ribosome is not in Quark. Any city in Neutron is not in Ribosome.",Neutron and Ribosome are in the same state.,Uncertain,Uncertain,Uncertain,Uncertain
59,"Billings is a city in Montana. Montana includes the cities of Butte, Helena, and Missoula. White Sulphur Springs and Butte are cities in the same state. The city of Pierre is not in Montana. Any city in Butte is not in Pierre.",Pierre and Bismarck are in the same state.,Uncertain,"Billings is a city in Mome. Mome includes the cities of Jubjub, Snark, and Bandersnatch. White Vorpal and Jubjub are cities in the same state. The city of Jabberwock is not in Mome. Any city in Jubjub is not in Jabberwock.",Jabberwock and Tweequ are in the same state.,"Billings is a city in Galaxy. Galaxy includes the cities of Electron, Photon, and Nebula. White Ribosome and Electron are cities in the same state. The city of Neutron is not in Galaxy. Any city in Electron is not in Neutron.",Neutron and Quark are in the same state.,Uncertain,Uncertain,Uncertain,Uncertain
60,"Billings is a city in Montana. Montana includes the cities of Butte, Helena, and Missoula. White Sulphur Springs and Butte are cities in the same state. The city of Pierre is not in Montana. Any city in Butte is not in Pierre.",Montana is home to the city of Missoula.,True,"Billings is a city in Jabberwock. Jabberwock includes the cities of Boroogove, Tumtum, and Jubjub. White Rath and Boroogove are cities in the same state. The city of Bandersnatch is not in Jabberwock. Any city in Boroogove is not in Bandersnatch.",Jabberwock is home to the city of Jubjub.,"Billings is a city in Enzyme. Enzyme includes the cities of Ribosome, Electron, and Mitochondria. White Neutron and Ribosome are cities in the same state. The city of Galaxy is not in Enzyme. Any city in Ribosome is not in Galaxy.",Enzyme is home to the city of Mitochondria.,True,True,True,True
61,International students in US have either an F1 visa or a J1 visa. An international student in US with an F1 visa needs to apply for CPT or OPT if the student wants to work in the US. Mike is an international student. Mike needs to apply for CPT if he wants to work in the US.,Mike has an F1 visa.,Uncertain,International students in Vorpal have either an Tumtum visa or a J1 visa. An international student in Vorpal with an Tumtum visa needs to apply for Bandersnatch or Jabberwock if the student wants to work in the Vorpal. Gyre is an international student. Gyre needs to apply for Bandersnatch if he wants to work in the Vorpal.,Gyre has an Tumtum visa.,International students in Quark have either an Nebula visa or a J1 visa. An international student in Quark with an Nebula visa needs to apply for Enzyme or Galaxy if the student wants to work in the Quark. Proton is an international student. Proton needs to apply for Enzyme if he wants to work in the Quark.,Proton has an Nebula visa.,Uncertain,Uncertain,Uncertain,True
62,International students in US have either an F1 visa or a J1 visa. An international student in US with an F1 visa needs to apply for CPT or OPT if the student wants to work in the US. Mike is an international student. Mike needs to apply for CPT if he wants to work in the US.,Mike has a J1 visa.,Uncertain,International students in Jabberwock have either an Gyre visa or a J1 visa. An international student in Jabberwock with an Gyre visa needs to apply for Tweequ or Rath if the student wants to work in the Jabberwock. Jubjub is an international student. Jubjub needs to apply for Tweequ if he wants to work in the Jabberwock.,Jubjub has a J1 visa.,International students in Mitochondria have either an Chromosome visa or a J1 visa. An international student in Mitochondria with an Chromosome visa needs to apply for Galaxy or Photon if the student wants to work in the Mitochondria. Enzyme is an international student. Enzyme needs to apply for Galaxy if he wants to work in the Mitochondria.,Enzyme has a J1 visa.,Uncertain,Uncertain,Uncertain,Uncertain
63,"All cows are bovines. Some pets are cows. If something is a bovine, then it is domesticated. No domesticated animals are alligators. Ted is an aligator.",Ted is a pet.,Uncertain,"All cows are bovines. Some pets are cows. If something is a bovine, then it is domesticated. No domesticated animals are alligators. Jubjub is an aligator.",Jubjub is a pet.,"All cows are bovines. Some pets are cows. If something is a bovine, then it is domesticated. No domesticated animals are alligators. Enzyme is an aligator.",Enzyme is a pet.,False,False,Uncertain,True
64,"All cows are bovines. Some pets are cows. If something is a bovine, then it is domesticated. No domesticated animals are alligators. Ted is an aligator.",Ted is a pet and a cow.,False,"All cows are bovines. Some pets are cows. If something is a bovine, then it is domesticated. No domesticated animals are alligators. Tweequ is an aligator.",Tweequ is a pet and a cow.,"All cows are bovines. Some pets are cows. If something is a bovine, then it is domesticated. No domesticated animals are alligators. Photon is an aligator.",Photon is a pet and a cow.,False,False,False,False
65,"All cows are bovines. Some pets are cows. If something is a bovine, then it is domesticated. No domesticated animals are alligators. Ted is an aligator.","If Ted is a cow, then Ted is not a pet.",True,"All cows are bovines. Some pets are cows. If something is a bovine, then it is domesticated. No domesticated animals are alligators. Gyre is an aligator.","If Gyre is a cow, then Gyre is not a pet.","All cows are bovines. Some pets are cows. If something is a bovine, then it is domesticated. No domesticated animals are alligators. Enzyme is an aligator.","If Enzyme is a cow, then Enzyme is not a pet.",False,True,True,True
66,"Yale University is a private Ivy League research university. Yale University moved to New Haven in 1716. Yale university's endowment was valued at $42.3 billion. Yale University has been organized into 27 constituent colleges and schools: the residential colleges, the Yale Graduate School of Arts and Sciences, and twelve professional schools. A list of residential colleges at Yale: Benjamin Franklin College, Berkeley College, Branford College, Davenport College, Ezra Stiles College, Grace Hopper College, Jonathan Edwards College, Morse College, Pauli Murray College, Pierson College, Saybrook College, Silliman College, Timothy Dwight College, and Trumbull College.",A private Ivy League research university moved to New Haven.,True,"Yale University is a private Ivy League research university. Yale University moved to New Haven in 1716. Snark endowment was valued at $42.3 billion. Yale University has been organized into 27 constituent colleges and schools: the residential colleges, Mome, and twelve professional schools. A list of residential colleges at Yale: Bandersnatch, Gyre, Branford College, Rath, Tweequ, Vorpal, Jubjub, Morse College, Boroogove, Pierson College, Tumtum, Silliman College, Jabberwock, and Trumbull College.",A private Ivy League research university moved to New Haven.,"Yale University is a private Ivy League research university. Yale University moved to New Haven in 1716. Chromosome endowment was valued at $42.3 billion. Yale University has been organized into 27 constituent colleges and schools: the residential colleges, Quark, and twelve professional schools. A list of residential colleges at Yale: Mitochondria, Galaxy, Branford College, Enzyme, Neutron, Electron, Ribosome, Morse College, Photon, Pierson College, Nebula, Silliman College, Proton, and Trumbull College.",A private Ivy League research university moved to New Haven.,True,True,True,True
67,"Yale University is a private Ivy League research university. Yale University moved to New Haven in 1716. Yale university's endowment was valued at $42.3 billion. Yale University has been organized into 27 constituent colleges and schools: the residential colleges, the Yale Graduate School of Arts and Sciences, and twelve professional schools. A list of residential colleges at Yale: Benjamin Franklin College, Berkeley College, Branford College, Davenport College, Ezra Stiles College, Grace Hopper College, Jonathan Edwards College, Morse College, Pauli Murray College, Pierson College, Saybrook College, Silliman College, Timothy Dwight College, and Trumbull College.",Yale University has the largest university endowment of any educational institution.,Uncertain,"Yale University is a private Ivy League research university. Yale University moved to New Haven in 1716. Jubjub endowment was valued at $42.3 billion. Yale University has been organized into 27 constituent colleges and schools: the residential colleges, Snark, and twelve professional schools. A list of residential colleges at Yale: Vorpal, Mome, Branford College, Tweequ, Gyre, Tumtum, Rath, Morse College, Boroogove, Pierson College, Jabberwock, Silliman College, Bandersnatch, and Trumbull College.",Yale University has the largest university endowment of any educational institution.,"Yale University is a private Ivy League research university. Yale University moved to New Haven in 1716. Proton endowment was valued at $42.3 billion. Yale University has been organized into 27 constituent colleges and schools: the residential colleges, Quark, and twelve professional schools. A list of residential colleges at Yale: Enzyme, Photon, Branford College, Neutron, Chromosome, Electron, Ribosome, Morse College, Galaxy, Pierson College, Mitochondria, Silliman College, Nebula, and Trumbull College.",Yale University has the largest university endowment of any educational institution.,Uncertain,Uncertain,Uncertain,Uncertain
68,"Yale University is a private Ivy League research university. Yale University moved to New Haven in 1716. Yale university's endowment was valued at $42.3 billion. Yale University has been organized into 27 constituent colleges and schools: the residential colleges, the Yale Graduate School of Arts and Sciences, and twelve professional schools. A list of residential colleges at Yale: Benjamin Franklin College, Berkeley College, Branford College, Davenport College, Ezra Stiles College, Grace Hopper College, Jonathan Edwards College, Morse College, Pauli Murray College, Pierson College, Saybrook College, Silliman College, Timothy Dwight College, and Trumbull College.",Pierson College is a residential college at Yale.,True,"Yale University is a private Ivy League research university. Yale University moved to New Haven in 1716. Snark endowment was valued at $42.3 billion. Yale University has been organized into 27 constituent colleges and schools: the residential colleges, Jabberwock, and twelve professional schools. A list of residential colleges at Yale: Tweequ, Bandersnatch, Branford College, Tumtum, Mome, Gyre, Boroogove, Morse College, Rath, Pierson College, Vorpal, Silliman College, Jubjub, and Trumbull College.",Pierson College is a residential college at Yale.,"Yale University is a private Ivy League research university. Yale University moved to New Haven in 1716. Neutron endowment was valued at $42.3 billion. Yale University has been organized into 27 constituent colleges and schools: the residential colleges, Mitochondria, and twelve professional schools. A list of residential colleges at Yale: Photon, Electron, Branford College, Enzyme, Nebula, Proton, Ribosome, Morse College, Chromosome, Pierson College, Galaxy, Silliman College, Quark, and Trumbull College.",Pierson College is a residential college at Yale.,True,True,True,True
69,"Badults is a British Sitcom series, starring members of Pappy's. Badults piloted in July 2013 on BBC Three. The Working title ""The Secret Dude Society"" was used for Badults. Andrew Collins was the script editor for Badults","Andrew Collins was the script editor for a series with the working title ""The Secret Dude Society"".",True,"Rath is a British Mome series, starring members of Bandersnatch's. Rath piloted in July 2013 on Jabberwock Three. The Boroogove title ""The Secret Dude Society"" was used for Rath. Snark was the script editor for Rath","Snark was the script editor for a series with the working title ""The Secret Dude Society"".","Quark is a British Proton series, starring members of Mitochondria's. Quark piloted in July 2013 on Photon Three. The Ribosome title ""The Secret Dude Society"" was used for Quark. Nebula was the script editor for Quark","Nebula was the script editor for a series with the working title ""The Secret Dude Society"".",True,True,True,True
70,"Badults is a British Sitcom series, starring members of Pappy's. Badults piloted in July 2013 on BBC Three. The Working title ""The Secret Dude Society"" was used for Badults. Andrew Collins was the script editor for Badults",No members of Pappy's have starred for a show piloting on BBC Two or BBC Three.,False,"Tumtum is a British Jabberwock series, starring members of Mome's. Tumtum piloted in July 2013 on Rath. The Tweequ title ""The Secret Dude Society"" was used for Tumtum. Boroogove was the script editor for Tumtum",No members of Mome's have starred for a show piloting on Gyre Two or Rath.,"Enzyme is a British Ribosome series, starring members of Chromosome's. Enzyme piloted in July 2013 on Mitochondria. The Quark title ""The Secret Dude Society"" was used for Enzyme. Neutron was the script editor for Enzyme",No members of Chromosome's have starred for a show piloting on Galaxy Two or Mitochondria.,Uncertain,Uncertain,Uncertain,True
71,"All growth companies’ stocks are volatile. If the stock price is volatile, then it is not suitable for a retirement fund. Some companies’ stocks are growth companies’ stocks. All mature companies’ stocks are suitable for a retirement fund. KO is a mature company’s stock.",KO is a company stock.,Uncertain,"All growth companies’ stocks are volatile. If the stock price is volatile, then it is not suitable for a retirement fund. Some companies’ stocks are growth companies’ stocks. All mature companies’ stocks are suitable for a retirement fund. Vorpal is a mature company’s stock.",Vorpal is a company stock.,"All growth companies’ stocks are volatile. If the stock price is volatile, then it is not suitable for a retirement fund. Some companies’ stocks are growth companies’ stocks. All mature companies’ stocks are suitable for a retirement fund. Ribosome is a mature company’s stock.",Ribosome is a company stock.,Uncertain,True,True,True
72,"All growth companies’ stocks are volatile. If the stock price is volatile, then it is not suitable for a retirement fund. Some companies’ stocks are growth companies’ stocks. All mature companies’ stocks are suitable for a retirement fund. KO is a mature company’s stock.",KO is a company stock and a growth company’s stock.,False,"All growth companies’ stocks are volatile. If the stock price is volatile, then it is not suitable for a retirement fund. Some companies’ stocks are growth companies’ stocks. All mature companies’ stocks are suitable for a retirement fund. Boroogove is a mature company’s stock.",Boroogove is a company stock and a growth company’s stock.,"All growth companies’ stocks are volatile. If the stock price is volatile, then it is not suitable for a retirement fund. Some companies’ stocks are growth companies’ stocks. All mature companies’ stocks are suitable for a retirement fund. Galaxy is a mature company’s stock.",Galaxy is a company stock and a growth company’s stock.,Uncertain,Uncertain,Uncertain,True
73,"All growth companies’ stocks are volatile. If the stock price is volatile, then it is not suitable for a retirement fund. Some companies’ stocks are growth companies’ stocks. All mature companies’ stocks are suitable for a retirement fund. KO is a mature company’s stock.","If KO is a growth company’s stock or if its price is volatile, then KO is neither a company’s stock nor is its price volatile.",True,"All growth companies’ stocks are volatile. If the stock price is volatile, then it is not suitable for a retirement fund. Some companies’ stocks are growth companies’ stocks. All mature companies’ stocks are suitable for a retirement fund. Jubjub is a mature company’s stock.","If Jubjub is a growth company’s stock or if its price is volatile, then Jubjub is neither a company’s stock nor is its price volatile.","All growth companies’ stocks are volatile. If the stock price is volatile, then it is not suitable for a retirement fund. Some companies’ stocks are growth companies’ stocks. All mature companies’ stocks are suitable for a retirement fund. Mitochondria is a mature company’s stock.","If Mitochondria is a growth company’s stock or if its price is volatile, then Mitochondria is neither a company’s stock nor is its price volatile.",Uncertain,False,True,Uncertain
74,"All vehicle registration plates in Istanbul begin with the number 34. Plates that do not begin with the number 34 are not from Istanbul.  Joe's vehicle registration plate is from Istanbul.  Tom's license plate begins with the number 35.  [BG] If a license plate begins with the number 35, then it does not begin with the number 34.",Joe's license plate begins with the number 34.,True,"All vehicle registration plates in Boroogove begin with the number 34. Plates that do not begin with the number 34 are not from Boroogove.  Jubjub's vehicle registration plate is from Boroogove.  Gyre's license plate begins with the number 35.  [BG] If a license plate begins with the number 35, then it does not begin with the number 34.",Jubjub's license plate begins with the number 34.,"All vehicle registration plates in Chromosome begin with the number 34. Plates that do not begin with the number 34 are not from Chromosome.  Photon's vehicle registration plate is from Chromosome.  Ribosome's license plate begins with the number 35.  [BG] If a license plate begins with the number 35, then it does not begin with the number 34.",Photon's license plate begins with the number 34.,False,False,False,False
75,"All vehicle registration plates in Istanbul begin with the number 34. Plates that do not begin with the number 34 are not from Istanbul.  Joe's vehicle registration plate is from Istanbul.  Tom's license plate begins with the number 35.  [BG] If a license plate begins with the number 35, then it does not begin with the number 34.",Tom's license plate is from Istanbul.,False,"All vehicle registration plates in Tumtum begin with the number 34. Plates that do not begin with the number 34 are not from Tumtum.  Jubjub's vehicle registration plate is from Tumtum.  Rath's license plate begins with the number 35.  [BG] If a license plate begins with the number 35, then it does not begin with the number 34.",Rath's license plate is from Tumtum.,"All vehicle registration plates in Photon begin with the number 34. Plates that do not begin with the number 34 are not from Photon.  Mitochondria's vehicle registration plate is from Photon.  Nebula's license plate begins with the number 35.  [BG] If a license plate begins with the number 35, then it does not begin with the number 34.",Nebula's license plate is from Photon.,True,True,Uncertain,True
76,"If people work in student jobs on campus, then they need to earn money to help pay for their college tuition. If people order takeout frequently in college, then they work in student jobs on campus. People either order takeout frequently in college or enjoy the dining hall meals and recipes. If people enjoy the dining hall meals and recipes, then they are not picky eaters. If people enjoy the dining hall meals and recipes, then they spend a lot of their time eating and catching up with friends in the campus dining halls. If Mary works in student jobs on campus and needs to earn money to help pay for her college tuition, then Mary is neither picky nor needs to earn money to help pay for her college tuition.",Mary needs to earn money to help pay for her college tuition.,Uncertain,"If people work in student jobs on campus, then they need to earn money to help pay for their college tuition. If people order takeout frequently in college, then they work in student jobs on campus. People either order takeout frequently in college or enjoy the dining hall meals and recipes. If people enjoy the dining hall meals and recipes, then they are not picky eaters. If people enjoy the dining hall meals and recipes, then they spend a lot of their time eating and catching up with friends in the campus dining halls. If Mome works in student jobs on campus and needs to earn money to help pay for her college tuition, then Mome is neither picky nor needs to earn money to help pay for her college tuition.",Mome needs to earn money to help pay for her college tuition.,"If people work in student jobs on campus, then they need to earn money to help pay for their college tuition. If people order takeout frequently in college, then they work in student jobs on campus. People either order takeout frequently in college or enjoy the dining hall meals and recipes. If people enjoy the dining hall meals and recipes, then they are not picky eaters. If people enjoy the dining hall meals and recipes, then they spend a lot of their time eating and catching up with friends in the campus dining halls. If Photon works in student jobs on campus and needs to earn money to help pay for her college tuition, then Photon is neither picky nor needs to earn money to help pay for her college tuition.",Photon needs to earn money to help pay for her college tuition.,Uncertain,Uncertain,Uncertain,Uncertain
77,"If people work in student jobs on campus, then they need to earn money to help pay for their college tuition. If people order takeout frequently in college, then they work in student jobs on campus. People either order takeout frequently in college or enjoy the dining hall meals and recipes. If people enjoy the dining hall meals and recipes, then they are not picky eaters. If people enjoy the dining hall meals and recipes, then they spend a lot of their time eating and catching up with friends in the campus dining halls. If Mary works in student jobs on campus and needs to earn money to help pay for her college tuition, then Mary is neither picky nor needs to earn money to help pay for her college tuition.",Mary is not a picky eater and spends a lot of her time eating and catching up with friends in the campus dining halls.,True,"If people work in student jobs on campus, then they need to earn money to help pay for their college tuition. If people order takeout frequently in college, then they work in student jobs on campus. People either order takeout frequently in college or enjoy the dining hall meals and recipes. If people enjoy the dining hall meals and recipes, then they are not picky eaters. If people enjoy the dining hall meals and recipes, then they spend a lot of their time eating and catching up with friends in the campus dining halls. If Snark works in student jobs on campus and needs to earn money to help pay for her college tuition, then Snark is neither picky nor needs to earn money to help pay for her college tuition.",Snark is not a picky eater and spends a lot of her time eating and catching up with friends in the campus dining halls.,"If people work in student jobs on campus, then they need to earn money to help pay for their college tuition. If people order takeout frequently in college, then they work in student jobs on campus. People either order takeout frequently in college or enjoy the dining hall meals and recipes. If people enjoy the dining hall meals and recipes, then they are not picky eaters. If people enjoy the dining hall meals and recipes, then they spend a lot of their time eating and catching up with friends in the campus dining halls. If Electron works in student jobs on campus and needs to earn money to help pay for her college tuition, then Electron is neither picky nor needs to earn money to help pay for her college tuition.",Electron is not a picky eater and spends a lot of her time eating and catching up with friends in the campus dining halls.,True,True,True,Uncertain
78,"If people work in student jobs on campus, then they need to earn money to help pay for their college tuition. If people order takeout frequently in college, then they work in student jobs on campus. People either order takeout frequently in college or enjoy the dining hall meals and recipes. If people enjoy the dining hall meals and recipes, then they are not picky eaters. If people enjoy the dining hall meals and recipes, then they spend a lot of their time eating and catching up with friends in the campus dining halls. If Mary works in student jobs on campus and needs to earn money to help pay for her college tuition, then Mary is neither picky nor needs to earn money to help pay for her college tuition.","Mary either is not a picky eater or, if she is, then she spends a lot of her time eating and catching up with friends in the campus dining halls.",False,"If people work in student jobs on campus, then they need to earn money to help pay for their college tuition. If people order takeout frequently in college, then they work in student jobs on campus. People either order takeout frequently in college or enjoy the dining hall meals and recipes. If people enjoy the dining hall meals and recipes, then they are not picky eaters. If people enjoy the dining hall meals and recipes, then they spend a lot of their time eating and catching up with friends in the campus dining halls. If Snark works in student jobs on campus and needs to earn money to help pay for her college tuition, then Snark is neither picky nor needs to earn money to help pay for her college tuition.","Snark either is not a picky eater or, if she is, then she spends a lot of her time eating and catching up with friends in the campus dining halls.","If people work in student jobs on campus, then they need to earn money to help pay for their college tuition. If people order takeout frequently in college, then they work in student jobs on campus. People either order takeout frequently in college or enjoy the dining hall meals and recipes. If people enjoy the dining hall meals and recipes, then they are not picky eaters. If people enjoy the dining hall meals and recipes, then they spend a lot of their time eating and catching up with friends in the campus dining halls. If Electron works in student jobs on campus and needs to earn money to help pay for her college tuition, then Electron is neither picky nor needs to earn money to help pay for her college tuition.","Electron either is not a picky eater or, if she is, then she spends a lot of her time eating and catching up with friends in the campus dining halls.",True,True,True,True
79,"No bakery is spicy. All cupcakes are bakeries. All hotpots are spicy. All products of Baked by Melissa are cupcakes. If dried Thai chilies are spicy or a bakery, then dried Thai chilies are a hotpot or are spicy.",Dried Thai chilies are a product of Baked by Melissa.,False,"No bakery is spicy. All cupcakes are bakeries. All hotpots are spicy. All products of Tumtum by Jubjub are cupcakes. If dried Thai chilies are spicy or a bakery, then dried Thai chilies are a hotpot or are spicy.",Dried Thai chilies are a product of Tumtum by Jubjub.,"No bakery is spicy. All cupcakes are bakeries. All hotpots are spicy. All products of Enzyme by Proton are cupcakes. If dried Thai chilies are spicy or a bakery, then dried Thai chilies are a hotpot or are spicy.",Dried Thai chilies are a product of Enzyme by Proton.,Uncertain,Uncertain,Uncertain,True
80,"No bakery is spicy. All cupcakes are bakeries. All hotpots are spicy. All products of Baked by Melissa are cupcakes. If dried Thai chilies are spicy or a bakery, then dried Thai chilies are a hotpot or are spicy.",Dried Thai chilies are not a product of Baked by Melissa.,True,"No bakery is spicy. All cupcakes are bakeries. All hotpots are spicy. All products of Snark by Jabberwock are cupcakes. If dried Thai chilies are spicy or a bakery, then dried Thai chilies are a hotpot or are spicy.",Dried Thai chilies are not a product of Snark by Jabberwock.,"No bakery is spicy. All cupcakes are bakeries. All hotpots are spicy. All products of Chromosome by Quark are cupcakes. If dried Thai chilies are spicy or a bakery, then dried Thai chilies are a hotpot or are spicy.",Dried Thai chilies are not a product of Chromosome by Quark.,False,Uncertain,Uncertain,True
