id,premises,conclusion,label,caroline_premises,caroline_conclusion,shuffled_premises,llm_answer_original,llm_answer_caroline
52,All Romance languages are Indo-European languages. The Romance languages are a language family. All languages within a language family are related to each other. French and Spanish are both Romance languages. German is related to Spanish. Basque is not related to any other language.,Basque is a Romance language.,False,All Jubjub languages are Indo-European languages. The Jubjub languages are a language family. All languages within a language family are related to each other. French and Spanish are both Jubjub languages. German is related to Spanish. Basque is not related to any other language.,Basque is a Romance language.,"German is related to Spanish.
All Romance languages are Indo-European languages.
The Romance languages are a language family.
French and Spanish are both Romance languages.
Basque is not related to any other language.
All languages within a language family are related to each other.",False,False
53,All Romance languages are Indo-European languages. The Romance languages are a language family. All languages within a language family are related to each other. French and Spanish are both Romance languages. German is related to Spanish. Basque is not related to any other language.,German is a Romance language.,Uncertain,All Tumtum languages are Indo-European languages. The Tumtum languages are a language family. All languages within a language family are related to each other. French and Spanish are both Tumtum languages. German is related to Spanish. Basque is not related to any other language.,German is a Romance language.,"The Romance languages are a language family.
Basque is not related to any other language.
German is related to Spanish.
French and Spanish are both Romance languages.
All languages within a language family are related to each other.
All Romance languages are Indo-European languages.",False,False
54,All Romance languages are Indo-European languages. The Romance languages are a language family. All languages within a language family are related to each other. French and Spanish are both Romance languages. German is related to Spanish. Basque is not related to any other language.,French is an Indo-European language.,True,All Boroogove languages are Indo-European languages. The Boroogove languages are a language family. All languages within a language family are related to each other. French and Spanish are both Boroogove languages. German is related to Spanish. Basque is not related to any other language.,French is an Indo-European language.,"All languages within a language family are related to each other.
The Romance languages are a language family.
All Romance languages are Indo-European languages.
German is related to Spanish.
Basque is not related to any other language.
French and Spanish are both Romance languages.",True,True
55,Robert Lewandowski is a striker. [BG] Strikers are soccer players. Robert Lewandowski left Bayern Munchen. [BG] If a player left a team they no longer play for that team.,Robert Lewandowski is a soccer player.,True,Gyre is a striker. [Snark are soccer players. Gyre left Bayern Munchen. [BG] If a player left a team they no longer play for that team.,Tumtum is a soccer player.,"Robert Lewandowski is a striker.
[BG] Strikers are soccer players.
Robert Lewandowski left Bayern Munchen.
[BG] If a player left a team they no longer play for that team.",True,Uncertain
56,Robert Lewandowski is a striker. [BG] Strikers are soccer players. Robert Lewandowski left Bayern Munchen. [BG] If a player left a team they no longer play for that team.,Robert Lewandowski plays for Bayern Munchen.,False,Rath is a striker. [Jubjub are soccer players. Rath left Bayern Munchen. [BG] If a player left a team they no longer play for that team.,Tweequ plays for Bayern Munchen.,"[BG] If a player left a team they no longer play for that team.
[BG] Strikers are soccer players.
Robert Lewandowski is a striker.
Robert Lewandowski left Bayern Munchen.",False,False
57,Robert Lewandowski is a striker. [BG] Strikers are soccer players. Robert Lewandowski left Bayern Munchen. [BG] If a player left a team they no longer play for that team.,Robert Lewandowski is a star.,Uncertain,Gyre is a striker. [Bandersnatch are soccer players. Gyre left Bayern Munchen. [BG] If a player left a team they no longer play for that team.,Boroogove is a star.,"Robert Lewandowski left Bayern Munchen.
Robert Lewandowski is a striker.
[BG] If a player left a team they no longer play for that team.
[BG] Strikers are soccer players.",Uncertain,Uncertain
58,"Billings is a city in Montana. Montana includes the cities of Butte, Helena, and Missoula. White Sulphur Springs and Butte are cities in the same state. The city of Pierre is not in Montana. Any city in Butte is not in Pierre.",Butte and Pierre are in the same state.,False,"Billings is a city in Snark. Snark includes the cities of Tumtum, Jubjub, and Jabberwock. White Rath and Tumtum are cities in the same state. The city of Tweequ is not in Snark. Any city in Tumtum is not in Tweequ.",Tumtum and Bandersnatch are in the same state.,"Any city in Butte is not in Pierre.
White Sulphur Springs and Butte are cities in the same state.
The city of Pierre is not in Montana.
Billings is a city in Montana.
Montana includes the cities of Butte, Helena, and Missoula.",False,False
59,"Billings is a city in Montana. Montana includes the cities of Butte, Helena, and Missoula. White Sulphur Springs and Butte are cities in the same state. The city of Pierre is not in Montana. Any city in Butte is not in Pierre.",Pierre and Bismarck are in the same state.,Uncertain,"Billings is a city in Bandersnatch. Bandersnatch includes the cities of Jabberwock, Mome, and Snark. White Gyre and Jabberwock are cities in the same state. The city of Tumtum is not in Bandersnatch. Any city in Jabberwock is not in Tumtum.",Jabberwock and Gyre are in the same state.,"Montana includes the cities of Butte, Helena, and Missoula.
Billings is a city in Montana.
Any city in Butte is not in Pierre.
White Sulphur Springs and Butte are cities in the same state.
The city of Pierre is not in Montana.",False,True
60,"Billings is a city in Montana. Montana includes the cities of Butte, Helena, and Missoula. White Sulphur Springs and Butte are cities in the same state. The city of Pierre is not in Montana. Any city in Butte is not in Pierre.",Montana is home to the city of Missoula.,True,"Billings is a city in Tumtum. Tumtum includes the cities of Rath, Bandersnatch, and Jabberwock. White Tweequ and Rath are cities in the same state. The city of Gyre is not in Tumtum. Any city in Rath is not in Gyre.",Jubjub is home to the city of Bandersnatch.,"Billings is a city in Montana.
White Sulphur Springs and Butte are cities in the same state.
Montana includes the cities of Butte, Helena, and Missoula.
Any city in Butte is not in Pierre.
The city of Pierre is not in Montana.",True,False
61,International students in US have either an F1 visa or a J1 visa. An international student in US with an F1 visa needs to apply for CPT or OPT if the student wants to work in the US. Mike is an international student. Mike needs to apply for CPT if he wants to work in the US.,Mike has an F1 visa.,Uncertain,International students in Snark have either an Jubjub visa or a J1 visa. An international student in Snark with an Jubjub visa needs to apply for Boroogove or Mome if the student wants to work in the Snark. Tumtum is an international student. Tumtum needs to apply for Boroogove if he wants to work in the Snark.,Jabberwock has an Mome visa.,"Mike needs to apply for CPT if he wants to work in the US.
An international student in US with an F1 visa needs to apply for CPT or OPT if the student wants to work in the US.
Mike is an international student.
International students in US have either an F1 visa or a J1 visa.",Uncertain,Uncertain
62,International students in US have either an F1 visa or a J1 visa. An international student in US with an F1 visa needs to apply for CPT or OPT if the student wants to work in the US. Mike is an international student. Mike needs to apply for CPT if he wants to work in the US.,Mike has a J1 visa.,Uncertain,International students in Gyre have either an Mome visa or a J1 visa. An international student in Gyre with an Mome visa needs to apply for Snark or Rath if the student wants to work in the Gyre. Tumtum is an international student. Tumtum needs to apply for Snark if he wants to work in the Gyre.,Mome has a J1 visa.,"Mike is an international student.
Mike needs to apply for CPT if he wants to work in the US.
International students in US have either an F1 visa or a J1 visa.
An international student in US with an F1 visa needs to apply for CPT or OPT if the student wants to work in the US.",Uncertain,False
63,"All cows are bovines. Some pets are cows. If something is a bovine, then it is domesticated. No domesticated animals are alligators. Ted is an aligator.",Ted is a pet.,Uncertain,"All cows are bovines. Some pets are cows. If something is a bovine, then it is domesticated. No domesticated animals are alligators. Rath is an aligator.",Snark is a pet.,"All cows are bovines.
No domesticated animals are alligators.
If something is a bovine, then it is domesticated.
Ted is an aligator.
Some pets are cows.",False,Uncertain
64,"All cows are bovines. Some pets are cows. If something is a bovine, then it is domesticated. No domesticated animals are alligators. Ted is an aligator.",Ted is a pet and a cow.,False,"All cows are bovines. Some pets are cows. If something is a bovine, then it is domesticated. No domesticated animals are alligators. Snark is an aligator.",Boroogove is a pet and a cow.,"All cows are bovines.
No domesticated animals are alligators.
Ted is an aligator.
If something is a bovine, then it is domesticated.
Some pets are cows.",False,Uncertain
65,"All cows are bovines. Some pets are cows. If something is a bovine, then it is domesticated. No domesticated animals are alligators. Ted is an aligator.","If Ted is a cow, then Ted is not a pet.",True,"All cows are bovines. Some pets are cows. If something is a bovine, then it is domesticated. No domesticated animals are alligators. Jabberwock is an aligator.","If Snark is a cow, then Snark is not a pet.","Some pets are cows.
If something is a bovine, then it is domesticated.
All cows are bovines.
No domesticated animals are alligators.
Ted is an aligator.",False,True
66,"Yale University is a private Ivy League research university. Yale University moved to New Haven in 1716. Yale university's endowment was valued at $42.3 billion. Yale University has been organized into 27 constituent colleges and schools: the residential colleges, the Yale Graduate School of Arts and Sciences, and twelve professional schools. A list of residential colleges at Yale: Benjamin Franklin College, Berkeley College, Branford College, Davenport College, Ezra Stiles College, Grace Hopper College, Jonathan Edwards College, Morse College, Pauli Murray College, Pierson College, Saybrook College, Silliman College, Timothy Dwight College, and Trumbull College.",A private Ivy League research university moved to New Haven.,True,"Yale University is a private Ivy League research university. Yale University moved to New Haven in 1716. Rath endowment was valued at $42.3 billion. Yale University has been organized into 27 constituent colleges and schools: the residential colleges, Boroogove, and twelve professional schools. A list of residential colleges at Yale: Jubjub, Tumtum, Branford College, Gyre, Snark, Jabberwock, Tweequ, Morse College, Mome, Pierson College, Saybrook College, Silliman College, Bandersnatch, and Trumbull College.",A private Ivy League research university moved to Gyre.,"Yale University moved to New Haven in 1716.
Yale university's endowment was valued at $42.
Yale University has been organized into 27 constituent colleges and schools: the residential colleges, the Yale Graduate School of Arts and Sciences, and twelve professional schools.
3 billion.
Yale University is a private Ivy League research university.
A list of residential colleges at Yale: Benjamin Franklin College, Berkeley College, Branford College, Davenport College, Ezra Stiles College, Grace Hopper College, Jonathan Edwards College, Morse College, Pauli Murray College, Pierson College, Saybrook College, Silliman College, Timothy Dwight College, and Trumbull College.",True,False
67,"Yale University is a private Ivy League research university. Yale University moved to New Haven in 1716. Yale university's endowment was valued at $42.3 billion. Yale University has been organized into 27 constituent colleges and schools: the residential colleges, the Yale Graduate School of Arts and Sciences, and twelve professional schools. A list of residential colleges at Yale: Benjamin Franklin College, Berkeley College, Branford College, Davenport College, Ezra Stiles College, Grace Hopper College, Jonathan Edwards College, Morse College, Pauli Murray College, Pierson College, Saybrook College, Silliman College, Timothy Dwight College, and Trumbull College.",Yale University has the largest university endowment of any educational institution.,Uncertain,"Yale University is a private Ivy League research university. Yale University moved to New Haven in 1716. Jubjub endowment was valued at $42.3 billion. Yale University has been organized into 27 constituent colleges and schools: the residential colleges, Tweequ, and twelve professional schools. A list of residential colleges at Yale: Mome, Jabberwock, Branford College, Bandersnatch, Gyre, Snark, Tumtum, Morse College, Boroogove, Pierson College, Saybrook College, Silliman College, Rath, and Trumbull College.",Gyre has the largest university endowment of any educational institution.,"3 billion.
A list of residential colleges at Yale: Benjamin Franklin College, Berkeley College, Branford College, Davenport College, Ezra Stiles College, Grace Hopper College, Jonathan Edwards College, Morse College, Pauli Murray College, Pierson College, Saybrook College, Silliman College, Timothy Dwight College, and Trumbull College.
Yale University is a private Ivy League research university.
Yale University has been organized into 27 constituent colleges and schools: the residential colleges, the Yale Graduate School of Arts and Sciences, and twelve professional schools.
Yale University moved to New Haven in 1716.
Yale university's endowment was valued at $42.",Uncertain,False
68,"Yale University is a private Ivy League research university. Yale University moved to New Haven in 1716. Yale university's endowment was valued at $42.3 billion. Yale University has been organized into 27 constituent colleges and schools: the residential colleges, the Yale Graduate School of Arts and Sciences, and twelve professional schools. A list of residential colleges at Yale: Benjamin Franklin College, Berkeley College, Branford College, Davenport College, Ezra Stiles College, Grace Hopper College, Jonathan Edwards College, Morse College, Pauli Murray College, Pierson College, Saybrook College, Silliman College, Timothy Dwight College, and Trumbull College.",Pierson College is a residential college at Yale.,True,"Yale University is a private Ivy League research university. Yale University moved to New Haven in 1716. Gyre endowment was valued at $42.3 billion. Yale University has been organized into 27 constituent colleges and schools: the residential colleges, Tweequ, and twelve professional schools. A list of residential colleges at Yale: Bandersnatch, Snark, Branford College, Boroogove, Jubjub, Rath, Tumtum, Morse College, Mome, Pierson College, Saybrook College, Silliman College, Jabberwock, and Trumbull College.",Jabberwock is a residential college at Mome.,"Yale University has been organized into 27 constituent colleges and schools: the residential colleges, the Yale Graduate School of Arts and Sciences, and twelve professional schools.
Yale university's endowment was valued at $42.
3 billion.
A list of residential colleges at Yale: Benjamin Franklin College, Berkeley College, Branford College, Davenport College, Ezra Stiles College, Grace Hopper College, Jonathan Edwards College, Morse College, Pauli Murray College, Pierson College, Saybrook College, Silliman College, Timothy Dwight College, and Trumbull College.
Yale University is a private Ivy League research university.
Yale University moved to New Haven in 1716.",True,False
69,"Badults is a British Sitcom series, starring members of Pappy's. Badults piloted in July 2013 on BBC Three. The Working title ""The Secret Dude Society"" was used for Badults. Andrew Collins was the script editor for Badults","Andrew Collins was the script editor for a series with the working title ""The Secret Dude Society"".",True,"Tweequ is a British Jabberwock series, starring members of Mome's. Tweequ piloted in July 2013 on Boroogove Three. The Bandersnatch title ""The Secret Dude Society"" was used for Tweequ. Snark was the script editor for Tweequ","Gyre was the script editor for a series with the working title ""The Secret Dude Society"".","Andrew Collins was the script editor for Badults.
The Working title ""The Secret Dude Society"" was used for Badults.
Badults piloted in July 2013 on BBC Three.
Badults is a British Sitcom series, starring members of Pappy's.",True,False
70,"Badults is a British Sitcom series, starring members of Pappy's. Badults piloted in July 2013 on BBC Three. The Working title ""The Secret Dude Society"" was used for Badults. Andrew Collins was the script editor for Badults",No members of Pappy's have starred for a show piloting on BBC Two or BBC Three.,False,"Tumtum is a British Rath series, starring members of Jabberwock's. Tumtum piloted in July 2013 on Snark Three. The Mome title ""The Secret Dude Society"" was used for Tumtum. Jubjub was the script editor for Tumtum",No members of Bandersnatch's have starred for a show piloting on Jubjub Two or Boroogove.,"Badults piloted in July 2013 on BBC Three.
The Working title ""The Secret Dude Society"" was used for Badults.
Badults is a British Sitcom series, starring members of Pappy's.
Andrew Collins was the script editor for Badults.",Uncertain,Uncertain
71,"All growth companies’ stocks are volatile. If the stock price is volatile, then it is not suitable for a retirement fund. Some companies’ stocks are growth companies’ stocks. All mature companies’ stocks are suitable for a retirement fund. KO is a mature company’s stock.",KO is a company stock.,Uncertain,"All growth companies’ stocks are volatile. If the stock price is volatile, then it is not suitable for a retirement fund. Some companies’ stocks are growth companies’ stocks. All mature companies’ stocks are suitable for a retirement fund. Mome is a mature company’s stock.",Snark is a company stock.,"All growth companies’ stocks are volatile.
KO is a mature company’s stock.
If the stock price is volatile, then it is not suitable for a retirement fund.
Some companies’ stocks are growth companies’ stocks.
All mature companies’ stocks are suitable for a retirement fund.",True,Uncertain
72,"All growth companies’ stocks are volatile. If the stock price is volatile, then it is not suitable for a retirement fund. Some companies’ stocks are growth companies’ stocks. All mature companies’ stocks are suitable for a retirement fund. KO is a mature company’s stock.",KO is a company stock and a growth company’s stock.,False,"All growth companies’ stocks are volatile. If the stock price is volatile, then it is not suitable for a retirement fund. Some companies’ stocks are growth companies’ stocks. All mature companies’ stocks are suitable for a retirement fund. Snark is a mature company’s stock.",Tweequ is a company stock and a growth company’s stock.,"All mature companies’ stocks are suitable for a retirement fund.
Some companies’ stocks are growth companies’ stocks.
All growth companies’ stocks are volatile.
If the stock price is volatile, then it is not suitable for a retirement fund.
KO is a mature company’s stock.",False,Uncertain
73,"All growth companies’ stocks are volatile. If the stock price is volatile, then it is not suitable for a retirement fund. Some companies’ stocks are growth companies’ stocks. All mature companies’ stocks are suitable for a retirement fund. KO is a mature company’s stock.","If KO is a growth company’s stock or if its price is volatile, then KO is neither a company’s stock nor is its price volatile.",True,"All growth companies’ stocks are volatile. If the stock price is volatile, then it is not suitable for a retirement fund. Some companies’ stocks are growth companies’ stocks. All mature companies’ stocks are suitable for a retirement fund. Mome is a mature company’s stock.","If Gyre is a growth company’s stock or if its price is volatile, then Gyre is neither a company’s stock nor is its price volatile.","All growth companies’ stocks are volatile.
All mature companies’ stocks are suitable for a retirement fund.
If the stock price is volatile, then it is not suitable for a retirement fund.
Some companies’ stocks are growth companies’ stocks.
KO is a mature company’s stock.",False,False
74,"All vehicle registration plates in Istanbul begin with the number 34. Plates that do not begin with the number 34 are not from Istanbul.  Joe's vehicle registration plate is from Istanbul.  Tom's license plate begins with the number 35.  [BG] If a license plate begins with the number 35, then it does not begin with the number 34.",Joe's license plate begins with the number 34.,True,"All vehicle registration plates in Snark begin with the number 34. Plates that do not begin with the number 34 are not from Snark.  Mome's vehicle registration plate is from Snark.  Jubjub's license plate begins with the number 35.  [BG] If a license plate begins with the number 35, then it does not begin with the number 34.",Tweequ's license plate begins with the number 34.,"All vehicle registration plates in Istanbul begin with the number 34.
Plates that do not begin with the number 34 are not from Istanbul.
Tom's license plate begins with the number 35.
[BG] If a license plate begins with the number 35, then it does not begin with the number 34.
Joe's vehicle registration plate is from Istanbul.",True,Uncertain
75,"All vehicle registration plates in Istanbul begin with the number 34. Plates that do not begin with the number 34 are not from Istanbul.  Joe's vehicle registration plate is from Istanbul.  Tom's license plate begins with the number 35.  [BG] If a license plate begins with the number 35, then it does not begin with the number 34.",Tom's license plate is from Istanbul.,False,"All vehicle registration plates in Tumtum begin with the number 34. Plates that do not begin with the number 34 are not from Tumtum.  Snark's vehicle registration plate is from Tumtum.  Jabberwock's license plate begins with the number 35.  [BG] If a license plate begins with the number 35, then it does not begin with the number 34.",Snark's license plate is from Mome.,"All vehicle registration plates in Istanbul begin with the number 34.
Plates that do not begin with the number 34 are not from Istanbul.
Joe's vehicle registration plate is from Istanbul.
Tom's license plate begins with the number 35.
[BG] If a license plate begins with the number 35, then it does not begin with the number 34.",False,False
76,"If people work in student jobs on campus, then they need to earn money to help pay for their college tuition. If people order takeout frequently in college, then they work in student jobs on campus. People either order takeout frequently in college or enjoy the dining hall meals and recipes. If people enjoy the dining hall meals and recipes, then they are not picky eaters. If people enjoy the dining hall meals and recipes, then they spend a lot of their time eating and catching up with friends in the campus dining halls. If Mary works in student jobs on campus and needs to earn money to help pay for her college tuition, then Mary is neither picky nor needs to earn money to help pay for her college tuition.",Mary needs to earn money to help pay for her college tuition.,Uncertain,"If people work in student jobs on campus, then they need to earn money to help pay for their college tuition. If people order takeout frequently in college, then they work in student jobs on campus. People either order takeout frequently in college or enjoy the dining hall meals and recipes. If people enjoy the dining hall meals and recipes, then they are not picky eaters. If people enjoy the dining hall meals and recipes, then they spend a lot of their time eating and catching up with friends in the campus dining halls. If Tumtum works in student jobs on campus and needs to earn money to help pay for her college tuition, then Tumtum is neither picky nor needs to earn money to help pay for her college tuition.",Boroogove needs to earn money to help pay for her college tuition.,"If Mary works in student jobs on campus and needs to earn money to help pay for her college tuition, then Mary is neither picky nor needs to earn money to help pay for her college tuition.
If people order takeout frequently in college, then they work in student jobs on campus.
If people enjoy the dining hall meals and recipes, then they spend a lot of their time eating and catching up with friends in the campus dining halls.
If people work in student jobs on campus, then they need to earn money to help pay for their college tuition.
People either order takeout frequently in college or enjoy the dining hall meals and recipes.
If people enjoy the dining hall meals and recipes, then they are not picky eaters.",True,Uncertain
77,"If people work in student jobs on campus, then they need to earn money to help pay for their college tuition. If people order takeout frequently in college, then they work in student jobs on campus. People either order takeout frequently in college or enjoy the dining hall meals and recipes. If people enjoy the dining hall meals and recipes, then they are not picky eaters. If people enjoy the dining hall meals and recipes, then they spend a lot of their time eating and catching up with friends in the campus dining halls. If Mary works in student jobs on campus and needs to earn money to help pay for her college tuition, then Mary is neither picky nor needs to earn money to help pay for her college tuition.",Mary is not a picky eater and spends a lot of her time eating and catching up with friends in the campus dining halls.,True,"If people work in student jobs on campus, then they need to earn money to help pay for their college tuition. If people order takeout frequently in college, then they work in student jobs on campus. People either order takeout frequently in college or enjoy the dining hall meals and recipes. If people enjoy the dining hall meals and recipes, then they are not picky eaters. If people enjoy the dining hall meals and recipes, then they spend a lot of their time eating and catching up with friends in the campus dining halls. If Gyre works in student jobs on campus and needs to earn money to help pay for her college tuition, then Gyre is neither picky nor needs to earn money to help pay for her college tuition.",Boroogove is not a picky eater and spends a lot of her time eating and catching up with friends in the campus dining halls.,"If people enjoy the dining hall meals and recipes, then they spend a lot of their time eating and catching up with friends in the campus dining halls.
If people enjoy the dining hall meals and recipes, then they are not picky eaters.
If people order takeout frequently in college, then they work in student jobs on campus.
If people work in student jobs on campus, then they need to earn money to help pay for their college tuition.
If Mary works in student jobs on campus and needs to earn money to help pay for her college tuition, then Mary is neither picky nor needs to earn money to help pay for her college tuition.
People either order takeout frequently in college or enjoy the dining hall meals and recipes.",False,Uncertain
78,"If people work in student jobs on campus, then they need to earn money to help pay for their college tuition. If people order takeout frequently in college, then they work in student jobs on campus. People either order takeout frequently in college or enjoy the dining hall meals and recipes. If people enjoy the dining hall meals and recipes, then they are not picky eaters. If people enjoy the dining hall meals and recipes, then they spend a lot of their time eating and catching up with friends in the campus dining halls. If Mary works in student jobs on campus and needs to earn money to help pay for her college tuition, then Mary is neither picky nor needs to earn money to help pay for her college tuition.","Mary either is not a picky eater or, if she is, then she spends a lot of her time eating and catching up with friends in the campus dining halls.",False,"If people work in student jobs on campus, then they need to earn money to help pay for their college tuition. If people order takeout frequently in college, then they work in student jobs on campus. People either order takeout frequently in college or enjoy the dining hall meals and recipes. If people enjoy the dining hall meals and recipes, then they are not picky eaters. If people enjoy the dining hall meals and recipes, then they spend a lot of their time eating and catching up with friends in the campus dining halls. If Boroogove works in student jobs on campus and needs to earn money to help pay for her college tuition, then Boroogove is neither picky nor needs to earn money to help pay for her college tuition.","Jubjub either is not a picky eater or, if she is, then she spends a lot of her time eating and catching up with friends in the campus dining halls.","People either order takeout frequently in college or enjoy the dining hall meals and recipes.
If people enjoy the dining hall meals and recipes, then they spend a lot of their time eating and catching up with friends in the campus dining halls.
If people enjoy the dining hall meals and recipes, then they are not picky eaters.
If people work in student jobs on campus, then they need to earn money to help pay for their college tuition.
If people order takeout frequently in college, then they work in student jobs on campus.
If Mary works in student jobs on campus and needs to earn money to help pay for her college tuition, then Mary is neither picky nor needs to earn money to help pay for her college tuition.",True,True
79,"No bakery is spicy. All cupcakes are bakeries. All hotpots are spicy. All products of Baked by Melissa are cupcakes. If dried Thai chilies are spicy or a bakery, then dried Thai chilies are a hotpot or are spicy.",Dried Thai chilies are a product of Baked by Melissa.,False,"No bakery is spicy. All cupcakes are bakeries. All hotpots are spicy. All products of Boroogove by Mome are cupcakes. If dried Thai chilies are spicy or a bakery, then dried Thai chilies are a hotpot or are spicy.",Dried Thai chilies are a product of Mome by Jabberwock.,"All cupcakes are bakeries.
No bakery is spicy.
All hotpots are spicy.
All products of Baked by Melissa are cupcakes.
If dried Thai chilies are spicy or a bakery, then dried Thai chilies are a hotpot or are spicy.",Uncertain,False
80,"No bakery is spicy. All cupcakes are bakeries. All hotpots are spicy. All products of Baked by Melissa are cupcakes. If dried Thai chilies are spicy or a bakery, then dried Thai chilies are a hotpot or are spicy.",Dried Thai chilies are not a product of Baked by Melissa.,True,"No bakery is spicy. All cupcakes are bakeries. All hotpots are spicy. All products of Snark by Rath are cupcakes. If dried Thai chilies are spicy or a bakery, then dried Thai chilies are a hotpot or are spicy.",Dried Thai chilies are not a product of Jabberwock by Rath.,"All hotpots are spicy.
All cupcakes are bakeries.
If dried Thai chilies are spicy or a bakery, then dried Thai chilies are a hotpot or are spicy.
No bakery is spicy.
All products of Baked by Melissa are cupcakes.",True,True
81,"No bakery is spicy. All cupcakes are bakeries. All hotpots are spicy. All products of Baked by Melissa are cupcakes. If dried Thai chilies are spicy or a bakery, then dried Thai chilies are a hotpot or are spicy.",Dried Thai chilies are a hotpot.,Uncertain,"No bakery is spicy. All cupcakes are bakeries. All hotpots are spicy. All products of Bandersnatch by Tumtum are cupcakes. If dried Thai chilies are spicy or a bakery, then dried Thai chilies are a hotpot or are spicy.",Dried Thai chilies are a hotpot.,"No bakery is spicy.
All products of Baked by Melissa are cupcakes.
All hotpots are spicy.
If dried Thai chilies are spicy or a bakery, then dried Thai chilies are a hotpot or are spicy.
All cupcakes are bakeries.",False,False
82,"No bakery is spicy. All cupcakes are bakeries. All hotpots are spicy. All products of Baked by Melissa are cupcakes. If dried Thai chilies are spicy or a bakery, then dried Thai chilies are a hotpot or are spicy.",Dried Thai chilies are neither a product of Baked by Melissa nor a bakery.,True,"No bakery is spicy. All cupcakes are bakeries. All hotpots are spicy. All products of Jabberwock by Gyre are cupcakes. If dried Thai chilies are spicy or a bakery, then dried Thai chilies are a hotpot or are spicy.",Dried Thai chilies are neither a product of Jabberwock by Bandersnatch nor a bakery.,"No bakery is spicy.
All hotpots are spicy.
All products of Baked by Melissa are cupcakes.
If dried Thai chilies are spicy or a bakery, then dried Thai chilies are a hotpot or are spicy.
All cupcakes are bakeries.",True,True
83,"No bakery is spicy. All cupcakes are bakeries. All hotpots are spicy. All products of Baked by Melissa are cupcakes. If dried Thai chilies are spicy or a bakery, then dried Thai chilies are a hotpot or are spicy.",Dried Thai chilies are cupcakes and a product of Baked by Melissa.,False,"No bakery is spicy. All cupcakes are bakeries. All hotpots are spicy. All products of Tumtum by Snark are cupcakes. If dried Thai chilies are spicy or a bakery, then dried Thai chilies are a hotpot or are spicy.",Dried Thai chilies are cupcakes and a product of Bandersnatch by Snark.,"All cupcakes are bakeries.
All hotpots are spicy.
If dried Thai chilies are spicy or a bakery, then dried Thai chilies are a hotpot or are spicy.
All products of Baked by Melissa are cupcakes.
No bakery is spicy.",False,False
84,"If the restaurant is listed in Yelp’s recommendations, then the restaurant does not receive many negative reviews. All restaurants with a rating greater than 9 are listed in Yelp’s recommendations. Some restaurants that do not provide take-out service receive many negative reviews. All restaurants that are popular among local residents have ratings greater than 9. Subway has a rating greater than 9 or is popular among local residents.","If Subway provides take-out service and receives many negative reviews, then its rating is greater than 9 and it does not provide take-out service.",Uncertain,"If the restaurant is listed in Tweequ’s recommendations, then the restaurant does not receive many negative reviews. All restaurants with a rating greater than 9 are listed in Tweequ’s recommendations. Some restaurants that do not provide take-out service receive many negative reviews. All restaurants that are popular among local residents have ratings greater than 9. Tumtum has a rating greater than 9 or is popular among local residents.","If Tweequ provides take-out service and receives many negative reviews, then its rating is greater than 9 and it does not provide take-out service.","Some restaurants that do not provide take-out service receive many negative reviews.
If the restaurant is listed in Yelp’s recommendations, then the restaurant does not receive many negative reviews.
All restaurants with a rating greater than 9 are listed in Yelp’s recommendations.
Subway has a rating greater than 9 or is popular among local residents.
All restaurants that are popular among local residents have ratings greater than 9.",False,False
85,"If the restaurant is listed in Yelp’s recommendations, then the restaurant does not receive many negative reviews. All restaurants with a rating greater than 9 are listed in Yelp’s recommendations. Some restaurants that do not provide take-out service receive many negative reviews. All restaurants that are popular among local residents have ratings greater than 9. Subway has a rating greater than 9 or is popular among local residents.",Subway provides take-out service and does not receive many negative reviews.,True,"If the restaurant is listed in Jabberwock’s recommendations, then the restaurant does not receive many negative reviews. All restaurants with a rating greater than 9 are listed in Jabberwock’s recommendations. Some restaurants that do not provide take-out service receive many negative reviews. All restaurants that are popular among local residents have ratings greater than 9. Bandersnatch has a rating greater than 9 or is popular among local residents.",Boroogove provides take-out service and does not receive many negative reviews.,"All restaurants with a rating greater than 9 are listed in Yelp’s recommendations.
Subway has a rating greater than 9 or is popular among local residents.
If the restaurant is listed in Yelp’s recommendations, then the restaurant does not receive many negative reviews.
All restaurants that are popular among local residents have ratings greater than 9.
Some restaurants that do not provide take-out service receive many negative reviews.",Uncertain,Uncertain
86,"If the restaurant is listed in Yelp’s recommendations, then the restaurant does not receive many negative reviews. All restaurants with a rating greater than 9 are listed in Yelp’s recommendations. Some restaurants that do not provide take-out service receive many negative reviews. All restaurants that are popular among local residents have ratings greater than 9. Subway has a rating greater than 9 or is popular among local residents.",Subway does not provide take-out service.,False,"If the restaurant is listed in Boroogove’s recommendations, then the restaurant does not receive many negative reviews. All restaurants with a rating greater than 9 are listed in Boroogove’s recommendations. Some restaurants that do not provide take-out service receive many negative reviews. All restaurants that are popular among local residents have ratings greater than 9. Jubjub has a rating greater than 9 or is popular among local residents.",Jabberwock does not provide take-out service.,"Subway has a rating greater than 9 or is popular among local residents.
If the restaurant is listed in Yelp’s recommendations, then the restaurant does not receive many negative reviews.
All restaurants that are popular among local residents have ratings greater than 9.
All restaurants with a rating greater than 9 are listed in Yelp’s recommendations.
Some restaurants that do not provide take-out service receive many negative reviews.",Uncertain,Uncertain
